unit,connections,meaningful_connections,reachable,rand_wired,first_activity_tick,death_tick,lifespan,alive,energy_consumed,final_energy,mean_burn_rate,peak_burn,total_propagations,ticks_active,clamp_saturations,thresh_flips,harvest_ticks,regime,final_abs_y,max_abs_output,final_mass
0,32,20,1,1,2,83,83,0,1000.0,0.0,12.048192771084338,164.93848330648575,1814,101,0,8,5,fixed-point,0.0,21.693394102754862,0.0
1,32,18,1,1,2,405,405,0,1000.0,0.0,2.4691358024691357,82.35678116416261,8568,409,409,214,201,fixed-point,0.0,6.059877315591907,0.0
2,32,11,1,1,2,40,40,0,1000.0,0.0,25.0,509.61025,1301,87,0,53,23,divergent,0.0,2.9118124516613623E24,0.0
3,32,15,1,1,2,908,908,0,1000.0,0.0,1.1013215859030836,3.696201479115885,16323,907,0,1,861,fixed-point,3.6691793572801905,12.237950993812065,0.0
4,32,16,1,1,2,65,65,0,1000.0,0.0,15.384615384615385,508.600535125,1653,86,51,60,13,divergent,0.0,5.603700201474511E35,0.0
5,32,18,1,1,2,491,491,0,1000.0,0.0,2.0366598778004072,41.243271630851574,8399,494,494,4,493,fixed-point,0.0,5.809269974524674,0.0
6,32,19,1,1,2,63,63,0,1000.0,0.0,15.873015873015873,510.6689937171324,1714,69,34,43,24,divergent,0.0,1.1345208913671773E18,0.0
7,32,13,1,1,2,35,35,0,1000.0,0.0,28.571428571428573,509.64025,957,57,0,43,8,divergent,0.0,5.518437664010694E8,0.0
8,32,16,1,1,2,-1,1000,1,-2271.55670531689,3271.55670531689,-2.27155670531689,1.0,15982,999,497,0,999,fixed-point,0.0,6.547929319132054,1.0
9,32,18,1,1,2,35,35,0,1000.0,0.0,28.571428571428573,512.5966574067754,947,50,50,37,12,divergent,0.0,4.143164734171534E15,0.0
10,32,10,1,0,2,37,37,0,1000.0,0.0,27.027027027027028,60.16222930485934,1024,61,0,60,20,divergent,0.0,1.3275095307047274E19,0.0
11,32,14,1,1,2,107,107,0,1000.0,0.0,9.345794392523365,41.01454322311689,1423,109,0,3,3,fixed-point,0.0,9.691028040947849,0.0
12,32,19,1,1,2,29,29,0,1000.0,0.0,34.48275862068966,509.79025,1038,47,46,37,20,divergent,0.0,1.614289046882612E9,0.0
13,32,17,1,0,2,401,401,0,1000.0,0.0,2.493765586034913,2.7576465587184673,6405,401,0,3,1,fixed-point,0.0,3.8984344004638816,0.0
14,32,13,1,1,2,433,433,0,1000.0,0.0,2.3094688221709005,2.578064949972407,5624,433,311,2,1,fixed-point,0.0,3.792474135563219,0.0
15,32,18,1,1,2,29,29,0,1000.0,0.0,34.48275862068966,511.88937845186496,963,50,0,35,8,divergent,0.0,1.8175566175921166E21,0.0
