unit,conn_index,src_local,src_name,dst_local,dst_name,weight,meaningful
0,0,2,LOCAL_RESOURCE,21,JUNK-A7,-0.44813379314554275,0
0,1,13,JUNK-I7,6,ADD,2.542802209540086,0
0,2,3,SELF_ENERGY,14,ACTION_Y,0.47535630359813225,1
0,3,5,JUNK-S5,19,MOVE_E,1.8053529465620899,0
0,4,13,JUNK-I7,10,THRESH,-0.28394421216467786,0
0,5,0,CONST,16,REPRODUCE,1.5706045716727195,1
0,6,0,CONST,20,MOVE_W,-0.6263618884853663,1
0,7,9,DELAY,18,MOVE_S,3.6442762535477766,1
0,8,7,MUL,8,CLAMP,0.08142338328196051,1
0,9,0,CONST,6,ADD,3.0607623523667105,1
0,10,13,JUNK-I7,18,MOVE_S,3.577745902890103,0
0,11,5,JUNK-S5,18,MOVE_S,-2.3551744132816554,0
0,12,2,LOCAL_RESOURCE,9,DELAY,-3.000335703604236,1
0,13,1,RAND,20,MOVE_W,-3.728263191625721,1
0,14,7,MUL,7,MUL,3.469466231269265,1
0,15,3,SELF_ENERGY,19,MOVE_E,3.506820886867885,1
0,16,13,JUNK-I7,10,THRESH,-0.6153752250740074,0
0,17,0,CONST,8,CLAMP,1.1343119602038636,1
0,18,7,MUL,6,ADD,2.8088015381328777,1
0,19,0,CONST,8,CLAMP,-3.292580950346385,1
0,20,2,LOCAL_RESOURCE,19,MOVE_E,-2.9201330607013154,1
0,21,7,MUL,14,ACTION_Y,3.0173039948728904,1
0,22,12,JUNK-I6,15,HARVEST,-1.2236701559495835,0
0,23,0,CONST,21,JUNK-A7,-2.4834742271187475,0
0,24,1,RAND,14,ACTION_Y,0.729148228400525,1
0,25,3,SELF_ENERGY,15,HARVEST,-3.0280465102084415,1
0,26,0,CONST,17,MOVE_N,0.9858699301126133,1
0,27,9,DELAY,13,JUNK-I7,-1.0560625019074068,0
0,28,6,ADD,17,MOVE_N,-3.21897030549028,1
0,29,6,ADD,9,DELAY,-1.6985381633960996,1
0,30,2,LOCAL_RESOURCE,7,MUL,-3.007293923764763,1
0,31,6,ADD,19,MOVE_E,-0.9012726218451491,1
1,0,5,JUNK-S5,14,ACTION_Y,1.9725943784905544,0
1,1,9,DELAY,16,REPRODUCE,-3.1253395184179205,1
1,2,4,JUNK-S4,10,THRESH,0.7531968138676107,0
1,3,5,JUNK-S5,10,THRESH,-1.0942716757713553,0
1,4,4,JUNK-S4,20,MOVE_W,2.162175359355449,0
1,5,11,JUNK-I5,9,DELAY,3.622302926725059,0
1,6,9,DELAY,14,ACTION_Y,1.3107089449751275,1
1,7,10,THRESH,14,ACTION_Y,-2.5495162816248054,1
1,8,7,MUL,20,MOVE_W,-1.4383983886226996,1
1,9,4,JUNK-S4,16,REPRODUCE,1.0576494644001586,0
1,10,0,CONST,15,HARVEST,-2.5908993804742577,1
1,11,0,CONST,13,JUNK-I7,-0.9264198736533708,0
1,12,6,ADD,12,JUNK-I6,-2.480910672322764,0
1,13,11,JUNK-I5,10,THRESH,-3.674428540910062,0
